family,template_id,template_name,version_number,active_version,section,capture_state,artifact_path,bytes,sha256,redacted_email_markers,redacted_phone_markers,redacted_blob_markers,redacted_embedded_image_markers
Email_Templates,1,Samples Received Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/1/versions/1/source.html,29763,3e55fee6fcc89f63c896716ce947e5c72e7d61c66ef58873b685132ec55e181a,0,0,0,0
Email_Templates,2,Sample Report Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/2/versions/1/source.html,29204,3bd9d80b597339080b2fea2d4ec51066f67e46a6951a9d77bd5ced5421daa76b,0,0,0,0
Email_Templates,5,Order Published Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/5/versions/1/source.html,24768,a4075e74e5929a101d81156fa5346cf187962e73bde3af723de7c1b27e9ef0ed,0,0,0,0
Email_Templates,6,Order Report Published Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/6/versions/1/source.html,24959,3603e5c5fcb5b330ec2c9992a2ff1ff55f474cfc03c1ee26712554d0e0a692a0,0,0,0,0
Email_Templates,7,Sample Report Published Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/7/versions/1/source.html,29190,3c5a5974bb101b1b2b1085c4879b6fc169f711b950c41ed670f00238b41ed6a7,0,0,0,0
Email_Templates,8,Test Report Published Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/8/versions/1/source.html,30988,09db65089fef1c7b6076a7ef5c6e8265754d887f3ca8816424f7d74925bdebe1,0,0,0,0
Email_Templates,9,Order Request Revision Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/9/versions/1/source.html,24827,38d138dbd9143c165fb6dc3e23929f44511e5a358ff4d8daeaeac60ac7e711d5,0,0,0,0
Email_Templates,10,Invoice Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/10/versions/1/source.html,28469,580a6b8bea8c8bed235cede714cc3a4e641f444bdc577a423a1e05f2097addeb,0,0,0,0
Email_Templates,12,Order Request Conversion Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/12/versions/1/source.html,24591,38f815fb1abe3ebb13c99d7e13799bbff9e78de022272e36be787cc14a306eb3,0,0,0,0
Email_Templates,13,New Comment Email,1,true,source,full_editor_text_recaptured_via_read_only_select_all,QBench/Rescans/2026-08-16/Templates/Email_Templates/13/versions/1/source.html,24660,f86f682ac141f178e9375e181e96a3e59bec7a999b1e79561a5584bcaa14358a,0,0,0,0
