store_id,name,description,created_timestamp_visible,created_by,system_name,active_inactive_state,root_type,leaf_count,unique_path_count,duplicate_path_row_count,max_path_occurrence,top_level_key_count,max_depth,redacted_value_count,safe_detail_url,value_artifact
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,,03/12/2026 09:29 AM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,1037,1037,0,1,4,5,0,https://ait.qbench.net/kvstore?id=55a33596-fde6-44ed-8b21-c568e0c9b259,55a33596-fde6-44ed-8b21-c568e0c9b259.json
1ddd77a8-1f6f-4b62-afb9-ac0c877af0bc,Cannabis Heavy Metals,"This KV store holds the Heavy Metals limits, analytes, LOQ, etc for the ND Medical Program, National Hemp, and MN OCM Cannabis/Hemp Programs.",03/14/2026 11:12 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,432,432,0,1,4,4,0,https://ait.qbench.net/kvstore?id=1ddd77a8-1f6f-4b62-afb9-ac0c877af0bc,1ddd77a8-1f6f-4b62-afb9-ac0c877af0bc.json
7085bf4a-27de-4bf1-84f7-208cf8a42127,Cannabis Mycotoxin,"This KV store holds the Mycotoxin limits, analytes, LOQ, etc for the ND Medical Program, National Hemp, and MN OCM Cannabis/Hemp Programs.",03/14/2026 10:40 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,609,609,0,1,3,4,0,https://ait.qbench.net/kvstore?id=7085bf4a-27de-4bf1-84f7-208cf8a42127,7085bf4a-27de-4bf1-84f7-208cf8a42127.json
3cf5a8a3-dfee-44c4-9473-b6baa9da8c04,Cannabis Pesticides,,03/25/2026 10:24 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,5236,1768,5202,3,4,3,0,https://ait.qbench.net/kvstore?id=3cf5a8a3-dfee-44c4-9473-b6baa9da8c04,3cf5a8a3-dfee-44c4-9473-b6baa9da8c04.json
fb123928-53d4-4c6d-82b6-51a6d447f5da,Cannabis Residual Solvents,"This KV store holds the Residual Solvents limits, analytes, LOQ, etc for the ND Medical Program, National Hemp, and MN OCM Cannabis/Hemp Programs.",03/15/2026 12:34 AM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,1872,646,1839,3,4,3,0,https://ait.qbench.net/kvstore?id=fb123928-53d4-4c6d-82b6-51a6d447f5da,fb123928-53d4-4c6d-82b6-51a6d447f5da.json
6ff8d12b-3d6e-4d58-a952-3ed3dc0f2b2f,Cannabis Water Activity,"This KV store holds the Water Activity limits, analytes, LOQ, etc for the ND Medical Program, National Hemp, and MN OCM Cannabis/Hemp Programs.",03/14/2026 11:29 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,72,24,72,3,4,3,0,https://ait.qbench.net/kvstore?id=6ff8d12b-3d6e-4d58-a952-3ed3dc0f2b2f,6ff8d12b-3d6e-4d58-a952-3ed3dc0f2b2f.json
d35d8737-5747-408a-a4e3-4a883c79349a,Microbial Analysis,,04/08/2026 07:59 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,504,168,504,3,3,3,0,https://ait.qbench.net/kvstore?id=d35d8737-5747-408a-a4e3-4a883c79349a,d35d8737-5747-408a-a4e3-4a883c79349a.json
ff2cde0c-abba-4522-991c-2473042479bc,QBENCH_TO_METRC_SAMPLE_TYPE_MAPPING,"This KV Store is to be used exactly how it is, with exact spelling of what MN OCM gives us. They do send updates with ones and it comes as a .CSV. That .CSV is also held in Controlled Documents under MN OCM Documents.",04/14/2026 10:03 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,2003,60,1999,146,60,1,0,https://ait.qbench.net/kvstore?id=ff2cde0c-abba-4522-991c-2473042479bc,ff2cde0c-abba-4522-991c-2473042479bc.json
f68f4eb5-b962-4604-85e0-fdaa72106e39,Terpenes,,07/27/2026 11:13 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,2001,667,2001,3,3,3,0,https://ait.qbench.net/kvstore?id=f68f4eb5-b962-4604-85e0-fdaa72106e39,f68f4eb5-b962-4604-85e0-fdaa72106e39.json
e06679d8-cda7-461b-95d8-8637f5e59852,TEST,,02/28/2026 08:39 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,0,0,0,0,0,0,0,https://ait.qbench.net/kvstore?id=e06679d8-cda7-461b-95d8-8637f5e59852,e06679d8-cda7-461b-95d8-8637f5e59852.json
9f287566-0fa1-4eb1-b770-283069826e09,TEST Potency,,03/14/2026 10:35 PM,omitted_personal_field,not_separately_exposed,not_exposed_on_detail_page,object,0,0,0,0,0,0,0,https://ait.qbench.net/kvstore?id=9f287566-0fa1-4eb1-b770-283069826e09,9f287566-0fa1-4eb1-b770-283069826e09.json
