case,input_or_formula,expected_full_precision,expected_display,actual,status,note
alpha-Pinene conversion,15.1234 ug/g,0.0151234 mg/g; 0.00151234%,0.015 mg/g; 0.002%,NOT_RUN,blocked,ordinary direct positive
Camphene below LOQ,5 ug/g; LOQ 10,<LOQ,<LOQ,NOT_RUN,blocked,strict LOQ comparison
beta-Myrcene equal LOQ,10 ug/g; LOQ 10,0.01 mg/g; 0.001%,0.010 mg/g; 0.001%,NOT_RUN,blocked,equal to LOQ remains numeric
beta-Pinene above LOQ,20.5678 ug/g; LOQ 10,0.0205678 mg/g; 0.00205678%,0.021 mg/g; 0.002%,NOT_RUN,blocked,eligible for total
missing component preprocessing,Delta-3-carene blank,used_ug_g=0,0,NOT_RUN,blocked,raw blank would remain unchanged
zero preprocessing,alpha-Terpinene 0,used_ug_g=0,0,NOT_RUN,blocked,no MU lookup required
negative preprocessing,p-Cymene -1.5,used_ug_g=0,0,NOT_RUN,blocked,raw negative would remain unchanged
Ocimene preprocessing,3.25 + 9.75 ug/g,3.25 + 9.75,13.000 ug/g,NOT_RUN,blocked,both components remain full precision
Ocimene combined result,13 ug/g,0.013 mg/g; 0.0013%,0.013 mg/g; 0.001%,NOT_RUN,blocked,reported once
Ocimene MU,MU 4% and 8%,6.08276253029822%,6.083%,NOT_RUN,blocked,independent relative-uncertainty propagation
Nerolidol preprocessing,12.5 + (-2.5) ug/g,12.5 + 0,12.500 ug/g,NOT_RUN,blocked,negative component contributes zero
Nerolidol combined result,12.5 ug/g,0.0125 mg/g; 0.00125%,0.013 mg/g; 0.001%,NOT_RUN,blocked,reported once
Nerolidol MU,positive component MU 7%,7%,7.000%,NOT_RUN,blocked,one positive component uses that component MU
both components nonpositive MU,0 and nonpositive,blank,blank,NOT_RUN,blocked,no fabricated MU
positive component missing MU,positive contribution; MU absent,blank,blank,NOT_RUN,blocked,no fabricated numeric MU
Total Terpenes,21 reportable measurands; strictly above LOQ,204.7801 ug/g; 0.2047801 mg/g; 0.02047801%,0.205 mg/g; 0.020%,NOT_RUN,blocked,Ocimene and Nerolidol once; component channels and prohibited analyte excluded
runtime gate,Specifications U2 and U4,resolved store and matrix bindings,resolved,SANDBOX_CONFIGURATION_REQUIRED,blocked,both cells are read-only and formulas return blank
